sentence_id,sentence_text
1025_t0249_s005,"Number two, by stealing our intellectual property; our designs, our patents, our technology."
1021_t0143_s006,I know that I wouldn’t be standing here if it weren’t for the fact that this country gave me opportunity.
1007_t0073_s003,"His whole deal is you’ve gotta be for it or against it, you can’t make it better."
1033_t0190_s005,This HEROES Act has been sitting there.
1007_t0012_s009,"Yes, I did."
1030_t0049_s002,There also is necessarily going to be new technology and how best to deploy that.
1018_t0061_s018,And we’re going to be fiscally responsible.
1003_t0144_s026,I’m an environmentalist.
1027_t0079_s004,And I think it’s time that the wealthy and corporations paid their fair share to support this country.
1019_t0133_s007,And so we just have a fundamental difference of opinion.
1006_t0121_s001,I’m not sure I get — help me with the question and I’ll try to answer it.
1003_t0032_s011,"Now, we have just heard two or three times from the vice president: he’s not going to raise taxes."
1022_t0148_s008,But that does not mean that we will cease to protect the rights of the unborn.
1001_t0056_s020,Maybe we need to do a better job in mental clinics to help them.
1030_t0281_s001,"… as he has campaigned for me around the country, you are the most dangerous person to run for president in the modern history of America."
1031_t0551_s001,.
1011_t0093_s004,I was one of only a few Democrats in the Senate to support the Persian Gulf War.
1014_t0111_s004,"Sometimes people who are very idealistic and have great dreams, as young people do, are apt to stay at arm’s length from the political process because they think their good hearts might be brittle, and if they invest their hopes and allow themselves to believe, then they’re gonna be let down and disappointed."
1023_t0179_s005,"My own view, by the way, is I’ve added to that."
1011_t0041_s010,"I think we need to get serious about this energy crisis, both in the Congress and in the White House, and if you entrust me with the presidency, I will tackle this problem and focus on new technologies that will make us less dependent on big oil or foreign oil."
1030_t0135_s003,I also will not add a penny to the debt.
1004_t0092_s005,"I urged the president to support this air cover, and he did–and I applaud that."
1008_t0046_s002,Get people who don’t have any interest in politics but understand the issue and let them make the recommendation to Congress.
1029_t0027_s014,"So, yes, this is who Donald Trump is."
1004_t0073_s013,"When we think of Russia, remember we’re thinking of many countries, now."
1033_t0191_s006,"But what that does, everybody all over the world will start pouring into our country."
1029_t0276_s021,"They’ll pay off our tremendous budget deficits, which are tremendous."
1006_t0190_s010,They know what it’s like not to have family leave or childcare.
1008_t0030_s010,"It’s a tax cut, cutting capital gains 50 percent."
1008_t0065_s010,"And it seems to me that when you make a decision, the decision is made by the President of the United States, by the Commander-in-Chief."
1030_t0236_s012,But I think they’re going to see through it.
1011_t0148_s010,"I see it all the time when people come up to me and say, I don’t want you to let me down again."
1031_t0761_s001,I would never say that.
1026_t0067_s004,The president said by now we’d be a 5.
1014_t0105_s016,And so I don’t support censorship.
1021_t0068_s001,Sure.
1010_t0025_s004,We only have ten divisions now.
1019_t0153_s006,Two points I think are important to think about when it comes to Russia.
1004_t0052_s017,Look at the misery index when the Democrats had both the White House and the Congress.
1027_t0171_s009,"And so we need to do a better job of working, again, with the communities, faith communities, business communities, as well as the police to try to deal with this problem."
1008_t0008_s009,"If you made 25,000 as the original proposal, you got your Social Security taxes increased."
1006_t0182_s001,I just want to mention if I could —
1029_t0220_s013,She called it the gold standard.
1007_t0087_s005,I don’t agree with that.
1004_t0095_s015,"The best expression of my family values is that tonight’s my 17th wedding anniversary, and I’d like to close my question by just wishing my wife a happy anniversary, and thank you, my daughter, for being here."
1017_t0127_s003,"But let me tell you, point blank, the lines of stem cells that he’s made available, every scientist in the country will tell you, “Not adequate,” because they’re contaminated by mouse cells, and because there aren’t 60 or 70 — they’re are only about 11 to 20 now — and there aren’t enough to be able to do the research because they’re contaminated."
1033_t0311_s001,Solar.
1031_t0786_s041,An election could be won or lost with that.
1017_t0132_s008,I think that’s an example of a judge allowing personal opinion to enter into the decision-making process as opposed to a strict interpretation of the Constitution.
1018_t0102_s001,"Well, first of all, it is just not true that I haven’t met with the Black Congressional Caucus."
1004_t0077_s020,And we’re going to keep on doing that.
1031_t0282_s013,He will destroy this country.
1025_t0024_s013,"And that means, yes, we still continue to open up new areas for drilling."
1027_t0040_s001,And I have been a secretary of state…
1011_t0143_s003,Could we do another round on it?
1027_t0204_s012,"And I think we need to go after Baghdadi, as well, make that one of our organizing principles."
1030_t0256_s018,They want to look good.
1033_t0073_s016,So what’s going on here?
1006_t0151_s020,We had a guarantee — and what happened?
1026_t0068_s006,That’s not the kind of small business promotion we need.
1013_t0153_s001,"Well, I don’t know about all these percentages that he throws out, but I do know that — I speculate that the reason why he didn’t answer your question directly as to whether my numbers were right, the facts were right about Texas ranking dead last in families with health insurance and 49th out of 50 for both children and women, is because those facts are correct."
1010_t0024_s003,"I also presented to the Congress and they adopted a large package of quality-of-life improvements, which are very important."
1022_t0016_s004,"So, look, nobody likes taxes."
1015_t0127_s003,It sort of brought home the transition to democracy that Russia was trying to make.
1029_t0108_s003,Once we break out—once we break out the lines and allow the competition to come…
1017_t0037_s007,"Meanwhile, while Iran is moving toward nuclear weapons, some 37 tons of what they called yellow cake, the stuff they use to make enriched uranium, while they’re doing that, North Korea has moved from one bomb maybe, maybe, to four to seven bombs."
1033_t0245_s013,"That we hold these truths to be self-evident, all men and women are created equal."
1001_t0085_s013,"But itÏ€s not going to be dedicated by some federal bureaucracy in Washington, D."
1004_t0063_s005,"Nobody wants gridlock anymore, and so let’s get the program through."
1015_t0010_s008,And they believe it because they know I would not take my eye off of the goal: Osama bin Laden.
1026_t0035_s001,…of forces agreement at the end of the conflict that existed.
1021_t0099_s016,"We need to help the Pakistani government go into Waziristan, where I visited, a very rough country, and — and get the support of the people, and get them to work with us and turn against the cruel Taliban and others."
1033_t0353_s009,We can grow this economy.
1025_t0247_s009,"One of his big ideas when it comes to corporate tax reform would be to say, if you invest overseas, you make profits overseas, you don’t have to pay U."
1001_t0025_s015,"So, it isn’t that we’re taking too little – from taxpayer – we’re spending too much still."
1010_t0068_s011,"No preferences to unqualified people, no quotas, but don’t give up on making an extra effort until you’re sure everybody has a chance to prove they’re qualified."
1004_t0090_s007,Everybody went.
1019_t0148_s007,"And we also have to affirm all the fledgling democracies in that region, you know, the Estonians, the Lithuanians, the Latvians, the Poles, the Czechs, that we are, in fact, going to be supportive and in solidarity with them in their efforts."
1013_t0224_s001,"I think that what — I think the point of that is that anybody would have a hard time trying to make a tax cut plan that is so large, that would put us into such big deficits, that gives almost half the benefits to the wealthiest of the wealthy."
1015_t0044_s022,” They’re not going to follow somebody who says this is the wrong war at the wrong place at the wrong time.
1006_t0213_s002,These are people that I just happen to know and have a high regard for.
1004_t0102_s012,But where we’re not making it is with the confirmed addicts.
1030_t0051_s006,As far as moving these people out and moving—we either have a country or we don’t.
1011_t0044_s001,"If I may just briefly, Jim, note."
1018_t0047_s006,I came to Washington to solve problems.
1027_t0133_s037,And it’s politicians like Secretary Clinton that have caused this problem.
1011_t0115_s008,"You can say you do to the cameras but you don’t, unless you’ve changed your plan here on the stage."
1019_t0035_s012,Look at them.
1018_t0033_s004,He voted to violate the budget cap 277 times.
1019_t0113_s020,That’s going to change when I’m president of the United States.
1006_t0015_s032,Today it will take 12 generations.
1022_t0060_s005,"The notion, though, that because we’re not doing town hall meetings that justifies some of the ads that have been going up, not just from your own campaign directly, John, but 527s and other organizations that make some pretty tough accusations, well, I don’t mind being attacked for the next three weeks."
1018_t0105_s007,"I was taught — I went to a church school and I was taught that the two greatest commandments are: Love the Lord, your God, with all your mind, your body and your soul, and love your neighbor as yourself."
1022_t0026_s003,"During the Depression era, we had a thing called the home ownership loan corporation."
1023_t0133_s009,There’ve been 122 community and small banks have closed since Dodd- Frank.
1026_t0150_s004,So my attitude coming into office was that we are going to insist that China plays by the same rules as everybody else.
1031_t0770_s002,.
1031_t0495_s003,What did he do?
1027_t0150_s017,We have to bring back law and order.
1029_t0269_s003,"But I believe there should be comprehensive background checks, and we should close the gun show loophole, and close the online loophole."
1022_t0110_s001,"Well, you know, I admire so much Senator Obama’s eloquence."
1006_t0088_s002,I’ll be glad to respond.
1023_t0206_s014,You can look at the record.
1031_t0666_s005,Like a lot of people we know at home had a drug problem.
1015_t0140_s004,"That’s not going to happen, so long as I’m your president."
1003_t0042_s004,And this is something Republicans have used for a long time.
1014_t0075_s016,"In the Senate I was one of only ten Democrats, along with Senator Joe Lieberman, to support Governor Bush’s dad in the Persian Gulf War Resolution."
1004_t0002_s006,The thing that separates my candidacy and makes it unique is that this came from millions of people in 50 states all over this country who wanted a candidate that worked and belonged to nobody but them.
1030_t0065_s007,"They have hacked American websites, American accounts of private people, of institutions."
1017_t0073_s016,"And finally, he said he’s going to have a novel health care plan."
1031_t0657_s006,.
1001_t0083_s007,Think about that father down there in Houston who has to tell his youngster that he can’t play little league ball that he can’t go out on the ball field because he’s afraid he’s going to get hurt.
1025_t0183_s001,Now Governor Romney had a very different response.
1008_t0112_s003,I believe you can protect the environment and grow the economy.
1006_t0172_s024,These big factories?
1018_t0089_s017,The fact is that he did not choose to go to war as a last result.
1007_t0095_s002,I think Ross is right and that we do need some more restrictions on lobbyists.
1006_t0228_s001,National Institutes of Health.
1027_t0133_s023,I am very underleveraged.
1011_t0070_s013,"Now, we have to take measured steps because the sentiment within Serbia is, for understandable reasons, against the United States because their nationalism — even if they don’t like Milosevic, they still have some feelings lingering from the NATO action there."
1031_t0684_s010,"In addition to everything else, the forest floors are loaded up with trees, dead trees that are years old and they’re like tinder and leaves and everything else."
1015_t0042_s007,"He went to Cincinnati and he gave a speech in which he said, “We will plan carefully."
1017_t0039_s022,"That’s why in my speech to the Congress I said: There’s an “Axis of Evil,” Iraq, Iran and North Korea, and we’re paying attention to it."
1031_t0663_s001,He made a fortune.
1004_t0010_s012,I would hate to be running for president and think that the only way I could win would be to convince everybody how horrible things are.
1033_t0065_s016,Don’t tell me about Wall Street.
1010_t0025_s001,"I don’t disagree with anything that the President said, except he waited four years to do these things, and my view is it ought to be, it will be done on Day 1."
1019_t0094_s001,They just passed an electoral…
1011_t0165_s019,She has Social Security.
1010_t0055_s002,Gingrich also were recommending that we pass these tax cuts only insofar as we could pay for them.
1031_t0161_s001,It’s so wrong.
1021_t0033_s005,I know how to do that.
1027_t0087_s002,You know what?
1025_t0222_s013,"Wherever possible the — the benefit of having two parents in the home, and that’s not always possible."
1027_t0146_s001,"So, yeah, I think—I do think it’s time."
1030_t0329_s005,That will have dire consequences for Social Security and Medicare.
1004_t0082_s019,And I’m not going to do it.
1025_t0222_s020,"Which was a program under this administration, and how it worked exactly I think we don’t know precisely, where thousands of automatic, and AK-47 type weapons were — were given to people that ultimately gave them to — to drug lords."
1033_t0328_s008,That’s why so many people in my state were dying and getting cancer.
1006_t0045_s002,"I mean, I think in general, let’s talk about these issues."
1025_t0103_s003,"And I — and I went to my staff, and I said, “How come all the people for these jobs are — are all men."
1026_t0067_s002,"And when it comes to our economy here at home, I know what it takes to create 12 million new jobs and rising take-home pay."
1004_t0038_s012,And so I simply do not think we should go back to the isolation days and starting blaming foreigners.
1010_t0088_s015,"Now, for four years that’s what I worked on."
1023_t0024_s010,But that — that is not the case.
1013_t0193_s003,Vice President.
1030_t0008_s007,"Because I support the Second Amendment doesn’t mean that I want people who shouldn’t have guns to be able to threaten you, kill you or members of your family."
1014_t0090_s008,"That’s why I’m for instant background checks at gun shows, I’m for trigger locks, I think that makes sense."
1025_t0012_s003,"Number one, I want to build manufacturing jobs in this country again."
1018_t0041_s006,It’s a brutal practice.
1004_t0066_s014,Give me a chance to do that.
1021_t0041_s014,And the last point I just want to make.
1015_t0133_s002,I don’t take it personally.
1003_t0078_s013,I know others disagree with it.
1026_t0112_s023,"In the meantime, though, we’re not going to let up the pressure until we have clear evidence that that takes place."
1023_t0042_s004,My plan is not to put in place any tax cut that will add to the deficit.
1017_t0161_s003,Obviously the president and I both have very strong convictions.
1018_t0074_s018,And we had an initiative that we were working on to raise women’s pay.
1007_t0162_s002,It is sound.
1031_t0176_s007,What we trust is a scientist.
1019_t0153_s009,That made no sense whatsoever.
1026_t0059_s002,"And if we’re strong in each of those things, American influence will grow."
1014_t0029_s001,Follow-up?
1019_t0153_s018,"What we’re going to have to do is to approach it through alternative energy, like solar, and wind, and biodiesel, and, yes, nuclear energy, clean-coal technology."
1027_t0010_s005,And the kind of plan that Donald has put forth would be trickle-down economics all over again.
1029_t0142_s007,That was a great—I thought a great display of presidential leadership.
1013_t0141_s019,Love your neighbor like you would like to be loved yourself.
1017_t0011_s003,The world is more dangerous today.
1025_t0006_s001,"Thank you, Jeremy."
1017_t0021_s020,I meet with them all the time.
1007_t0008_s001,"The basic problem with it, it doesn’t balance the budget."
1029_t0276_s027,The EPA is so restrictive that they are putting our energy companies out of business.
1022_t0108_s009,"We can only get 4,000 to 5,000 into South Korea."
1025_t0131_s012,This was the president’s plan.
1007_t0012_s010,And the American taxpayer ought to be glad they have a president to stand up to a spending Congress.
1011_t0083_s007,"And finally, whether or not there was an exit strategy."
1017_t0020_s010,"Now, I have to tell you, I would do something different."
1031_t0087_s001,Are you saying you didn’t agree?
1014_t0133_s003,It’s an issue that good people obviously disagree on.
1033_t0290_s006,We lost an election.
1013_t0139_s003,"I think states should do that for new handguns, because too many criminals are getting guns."
1017_t0115_s009,Taxes are going up when you run up the top two brackets.
1006_t0242_s003,I’ll see you tomorrow night — on NBC — 10:30 to 11:00 Eastern Time.
1006_t0172_s002,"And the first word you need to say in every city and state, and just draw a line in the sand, is public schools exist for the benefit of the children."
1013_t0161_s019,And our state cares a lot about our children.
1033_t0018_s002,"And he did it late, after 40 countries had already done that."
1018_t0089_s014,"He said in Cincinnati we would plan carefully, we would take every precaution."
1031_t0638_s009,But now we’re building it back up again.
1015_t0104_s001,That’s a loaded question.
1033_t0055_s006,"They are the states in the Midwest, they are the states in the upper Midwest, that’s where the spike is occurring significantly, but they’re all Americans."
1004_t0080_s013,Open your society.
1006_t0132_s007,"When the businesses go bankrupt, I know them."
1021_t0143_s013,Wages and incomes have gone down.
1011_t0156_s005,"And incidentally, one of them is this."
1017_t0110_s023,And we’re going to put our laboratories and our colleges and our universities to work.
1017_t0087_s007,Do you know what he presented us with?
1029_t0226_s003,"Carter, I have tried my entire life to do what I can to support children and families."
1011_t0117_s005,"Stop this business about asking gosh, how old are you?"
1001_t0133_s002,Vice President.
1029_t0009_s010,So that’s why I hope that we will come together in this campaign.
1017_t0112_s019,"Do you realize, 900,000 small businesses will be taxed under his plan because most small businesses are Subchapter S corps or limited partnerships, and they pay tax at the individual income tax level."
1030_t0256_s011,They’ve all left.
1013_t0002_s016,I’ve been able to set clear goals.
1025_t0131_s017,He hasn’t even made a proposal on either one.
1008_t0074_s019,"So there are a lot of good things in this bill we should have done instead of trying this massive, massive takeover by the Federal government."
1033_t0018_s007,We have to thank him.
1022_t0088_s003,Ayers has become the centerpiece of Senator McCain’s campaign over the last two or three weeks.
1003_t0171_s019,"Thank you, and God bless you."
1033_t0079_s008,I paid in advance.
1029_t0140_s018,Come right over.
1023_t0047_s005,"Unfortunately, he doubled it."
1007_t0205_s006,Question really is who do you want in the White House.
1018_t0028_s013,"And when I’m president, we’re going to shut that loophole in a nanosecond and we’re going to use that money to lower corporate tax rates in America for all corporations, 5 percent."
1025_t0014_s016,My plan was to have the company go through bankruptcy like 7-Eleven did and Macy’s and Condell Airlines and come out stronger.
1017_t0134_s006,"I don’t believe we need a good conservative judge, and I don’t believe we need a good liberal judge."
1019_t0124_s018,"But we are also going to have to, I believe, engage in tough direct diplomacy with Iran and this is a major difference I have with Senator McCain, this notion that by not talking to people we are punishing them has not worked."
1031_t0549_s004,"If you look at New York where it’s going up, like nobody’s ever seen anything."
1023_t0144_s015,"Second reason, it cuts $716 billion from Medicare to pay for it."
1021_t0096_s003,"So what happened was we got distracted, we diverted resources, and ultimately bin Laden escaped, set up base camps in the mountains of Pakistan in the northwest provinces there."
1013_t0070_s014,We got intimately involved in building NATO and other structures there.
1001_t0061_s018,But governors are ready; mayors are ready.
1030_t0121_s003,And defend yourself.
1015_t0016_s018,We will succeed.
1017_t0021_s024,Our plan is working.
1010_t0131_s011,"We shouldn’t discriminate — race, color, whatever — life-style, disability."
1021_t0143_s024,You’re last up.
1022_t0107_s006,It’s mortgaging our children’s future.
1023_t0129_s005,You couldn’t have people opening up banks in their — in their garage and making loans.
1014_t0148_s022,"Highest private home ownership ever, but I’ll make you one promise here."
1025_t0042_s001,Here’s what happened.
1019_t0032_s006,And I pay for every dime of it.
1003_t0042_s001,"Well, Margaret, we’ve heard it again tonight and I’m not surprised, the labels."
1018_t0111_s003,I love the strong women around me.
1030_t0110_s004,"The bottom line on nuclear weapons is that when the president gives the order, it must be followed."
1033_t0004_s019,"I can tell you from personal experience that I was in the hospital, I had it."
1007_t0103_s001,I’ve volunteered.
1004_t0082_s013,"He says don’t do it, but the policies he’s expounding of putting conditions on M."
1021_t0036_s016,We do need to look at our records.
1017_t0137_s002,"First of all, I cannot tell you how deeply I respect the belief about life and when it begins."
1027_t0061_s002,And I think it’s important to look at what we need to do to get the economy going again.
1014_t0062_s006,"If you want somebody who will fight for you and who will fight to have middle-class tax cuts, then I am your man."
1008_t0100_s021,Why shouldn’t low income Americans and low middle income Americans.
1017_t0101_s001,Off-road diesel engines — we have reached an agreement to reduce pollution from off-road diesel engines by 90 percent.
1030_t0157_s005,And you do have experience.
1027_t0196_s005,It doesn’t work that way.
1007_t0117_s003,I did it for the very reasons you say.
1015_t0021_s003,"I don’t see how you can lead this country to succeed in Iraq if you say wrong war, wrong time, wrong place."
1029_t0045_s001,In the first debate…
1004_t0016_s007,Or did they occur while you were a senior official in the federal government?
1018_t0098_s012,And most of the law enforcement agencies in America wanted that assault weapons ban.
1029_t0119_s006,And we’ve had many successful Muslims.
1011_t0140_s002,He puts no real assets into the Social Security system.
1014_t0081_s015,"The trends before we — before I got my current job were on the decline, the number of divisions were reduced."
1029_t0029_s002,I assume I am.
1006_t0236_s017,I hope I’m that person.
1004_t0087_s010,"And right now, as you know, the US took the lead in a no-fly operation up there in– no- fly order up in the United Nations."
1004_t0049_s018,But I do not want to go the tax-and-spend route.
1007_t0186_s013,"And it’s fair, shared sacrifice to do the right thing for our country and for our children."
1011_t0072_s013,It’s time for the man to leave.
1022_t0102_s003,He voted against the first Gulf War.
1027_t0026_s009,"The Obama administration, from the time they’ve come in, is over 230 years’ worth of debt, and he’s topped it."
1033_t0195_s002,"We should be bailing them out now, those small businesses."
1025_t0261_s013,The president said he would.
1014_t0023_s017,"7 billion dollars, or 4."
1021_t0121_s007,"But we have to have a government that is responsive to the Afghan people, and, frankly, it’s just not responsive right now."
1004_t0040_s009,"They don’t want us to control it, very candidly."
1003_t0167_s007,His chief education adviser is in jail He’s in jail because he betrayed the public trust.
1027_t0242_s016,That’s coalition-building.
1015_t0066_s003,"You cannot lead the war on terror if you keep changing positions on the war on terror and say things like, “Well, this is just a grand diversion."
1027_t0180_s001,"And I will tell you, you look at the inner cities—and I just left Detroit, and I just left Philadelphia, and I just—you know, you’ve seen me, I’ve been all over the place."
1004_t0125_s013,"When we talk about cutting health care costs, let’s start with the insurance companies and the people that are making a killing instead of making our people healthy."
1003_t0094_s001,May I disagree with the premise of your question?
1026_t0072_s001,"Well — well, I need to speak a moment…"
1033_t0310_s001,Find me a scientist that says that.
1010_t0011_s008,We try to help people with disabilities.
1033_t0175_s007,What happens to them?
1033_t0020_s004,We can’t lock ourselves up in a basement like Joe does.
1031_t0207_s002,"He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you."
1033_t0043_s005,"Do not open until you get this under control, under more control."
1014_t0021_s014,"Now, briefly, let me tell you how my prescription drug plan works."
1033_t0020_s020,99% of people recover.
1003_t0040_s012,And I have enormous difference with the ACLU on their politic agenda.
1029_t0065_s001,"Oh, 33,000?"
1017_t0039_s011,"It is naive and dangerous to take a policy that he suggested the other day, which is to have bilateral relations with North Korea."
1030_t0126_s009,And I sure do want to make sure women get equal pay for the work we do.
1007_t0199_s006,"I don’t think he’ll be reelected because trickle down economics is a failure and he’s offering more of it, and what he’s saying about my program is just not true."
1018_t0107_s015,And I’ve done that.
1025_t0132_s014,"But the policies he’s put in place from Obamacare to Dodd-Frank to his tax policies to his regulatory policies, these policies combined have not let this economy take off and grow like it could have."
1021_t0052_s001,"Well, Tom, we’re going to have to take on entitlements and I think we’ve got to do it quickly."
1027_t0216_s006,"And now they’re going to be actually probably a major power at some point pretty soon, the way they’re going."
1011_t0148_s007,It’s not good for the country and it’s not right.
1029_t0037_s017,So don’t tell me about words.
1022_t0005_s021,We’ve got to fix our health care system and we’ve got to invest in our education system for every young person to be able to learn.
1004_t0029_s002,My plan –
1015_t0010_s007,"I’m proud that important military figures who are supporting me in this race: former Chairman of the Joint Chiefs of Staff John Shalikashvili; just yesterday, General Eisenhower’s son, General John Eisenhower, endorsed me; General Admiral William Crown; General Tony McBeak, who ran the Air Force war so effectively for his father — all believe I would make a stronger commander in chief."
1023_t0175_s001,"First, life and liberty."
1018_t0055_s008,Senators and congressmen have a wide choice.
1014_t0105_s002,"Laura and I are proud parents of teenage girls, twin daughters, and I know what you’re saying."
1029_t0106_s001,We’re going to be able to.
1008_t0057_s012,It would far surpass the numbers you mentioned.
1033_t0330_s001,Would he close down the oil industry — would you close down the oil industry?
1004_t0004_s008,But we must all decide first we have the courage to change for hope and a better tomorrow.
1030_t0319_s004,I’ve been waiting for years.
1030_t0037_s015,I have been for border security for years.
1031_t0378_s002,They said it would take-
1031_t0784_s031,"Is it going to change, or are you going to get four more years of these lies?"
1006_t0172_s040,"At the end of the first day, that little child wants out."
1001_t0050_s014,"He has every right to exercise his passion, as what he said, a strong, progressive liberal."
1021_t0052_s016,That is not fair.
1001_t0088_s020,"The question is values; the question is strength, the question is your willingness to provide the kind of leadership that must be provided."
1001_t0041_s003,The Surgeon General is doing a good job in encouraging the proper kind of education.
1018_t0075_s018,"In order to make sure people have jobs for the 21st century, we’ve got to get it right in the education system, and we’re beginning to close a minority achievement gap now."
1029_t0092_s002,Obamacare is a disaster.
1003_t0060_s009,Probably never heard of him.
1030_t0279_s001,"Well, you should ask Bernie Sanders who he’s supporting for president."
1006_t0151_s014,"Six increases in the payroll tax — that means people with incomes of $51,000 a year or less pay a disproportionally high share of the federal tax burden, which is why I want some middle-class tax relief."
1025_t0209_s001,I’m happy to have a longer conversation —
1017_t0029_s002,"Let me address it but also talk about the weapons the president just talked about, because every part of the president’s answer just now promises you more of the same over the next four years."
1008_t0101_s002,We’ve worked hard to expand public school choice in my balanced budget bill.
1023_t0024_s003,What I’ve said is I won’t put in place a tax cut that adds to the deficit.
1030_t0024_s007,Donald has said he’s in favor of defunding Planned Parenthood.
1025_t0007_s003,"If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship, four years tuition free in the college of your choice in Massachusetts, it’s a public institution."
1014_t0111_s005,But thank goodness we’ve always had enough people who have been willing in every generation to push past the fear of a broken heart and become deeply involved in forming a more perfect union.
1021_t0010_s008,3 million people in America make their living off eBay.
1010_t0096_s016,But it does seem to me that you’ve raised a very important point that needs to be addressed.
1010_t0096_s011,"And ended up we had more votes than he had, then they decided to pull the plug."
1025_t0150_s003,"I said that the E-Verify portion of the Arizona law, which is — which is the portion of the law which says that employers could be able to determine whether someone is here illegally or not illegally, that that was a model for the nation."
1003_t0023_s001,"No, I’m not sure I can promise that; I don’t think either one of us can really."
1030_t0309_s006,"And if we do, you don’t have to bother asking your question, because we have a tremendous machine."
1017_t0094_s005,9 million new jobs.
1001_t0108_s026,Bush has been reconsidering his position over the course of the past few weeks.
1021_t0091_s002,But understand that there’s a lot of cruelty around the world.
1027_t0275_s002,We need heart.
1007_t0059_s001,"Well, everybody’s nibbling around the edges."
1008_t0030_s003,This is a family tax cut.
1033_t0087_s011,The only guy that made money from China is this guy.
1014_t0108_s002,"It’s not just movies; television, video games, music, the Internet."
1011_t0021_s001,"I cannot let this go by, the old-style Washington politics, of we’re going to scare you in the voting booth."
1031_t0025_s001,The party is me.
1030_t0232_s001,"But I will tell you, I sat there… … I sat there watching ad after ad after ad, false ad."
1030_t0157_s012,How do you miss $6 billion?
1021_t0143_s016,"And we can’t expect that if we do the same things that we’ve been doing over the last eight years, that somehow we are going to have a different outcome."
1021_t0075_s022,"You know, like hair transplants, I might need one of those myself."
1001_t0090_s019,And he was down there fighting against imperialism.
1027_t0271_s004,We cannot protect countries all over the world…
1033_t0097_s002,That was before.
1025_t0245_s005,A lot of good people have lost jobs.
1023_t0167_s007,Those are my principles.
1023_t0024_s021,"I want to bring the rates down, at the same time lower deductions and exemptions and credits and so forth, so we keep getting the revenue we need."
1010_t0090_s015,Credit card debt has never been higher.
1030_t0105_s011,She has been outsmarted by Putin.
1010_t0135_s024,Every 18-year-old can go to college.
1010_t0004_s019,"If we do those things, we can build that bridge to the 21st century."
1030_t0113_s003,We are spending a fortune doing it.
1030_t0024_s009,I will defend Planned Parenthood.
1001_t0063_s010,Louis at some of that effort.
1007_t0109_s012,"I think that the president has to be prepared to use the power of the nation when our vital interests are threatened, when our treaty commitments are at stake, when we know that something has to be done that is in the national interest, and that is a part of being president."
1029_t0188_s008,Our government shouldn’t have allowed that to happen.
1031_t0786_s022,If you have an unsolicited–they’re sending millions of ballots all over the country.
1017_t0090_s010,And I lower the cost of health care in the way that I described to you.
1013_t0008_s003,"I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway."
1004_t0059_s021,"” Well, obviously, my orientation is let’s go do it."
1029_t0011_s025,"But I want to do things that haven’t been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it."
1008_t0020_s004,"He said he did the right thing then, he knew it wouldn’t work at the time."
1010_t0135_s020,Whether we’re going to give our families more protection for their kids against drugs and tobacco and gangs and guns.
1003_t0106_s011,In precinct politics in Texas and I’ve seen it at the national level.
1004_t0031_s009,Bush and Mr.
1026_t0140_s006,It was higher when I came into office.
1006_t0102_s004,They concluded that my plan would cover everybody and his would leave 27 million behind by the year 2000 and that my plan in the next 12 years would save $2.
1031_t0784_s021,"If I win, that will be accepted."
1027_t0202_s001,"I do want to say that I was just endorsed—and more are coming next week—it will be over 200 admirals, many of them here—admirals and generals endorsed me to lead this country."
1030_t0105_s015,They’ve taken over the Middle East.
1007_t0150_s006,An African American was my chief economic development officer.
1019_t0124_s012,"Senator McCain is absolutely right, we cannot tolerate a nuclear Iran."
1031_t0778_s003,.
1026_t0006_s013,Our hearts and — and minds go out to them.
1019_t0067_s006,Nuclear power is not only important as far as eliminating our dependence on foreign oil but it’s also responsibility as far as climate change is concerned.
1030_t0311_s003,"You know, back in 1987, he took out a $100,000 ad in the New York Times, during the time when President Reagan was president, and basically said exactly what he just said now, that we were the laughingstock of the world."
1029_t0151_s014,“I wish you would have done this.
1019_t0060_s006,That was a give away and part of the reason is because lobbyists are able to shape how Medicare works.
1015_t0094_s001,Right.
1030_t0110_s006,"And that’s why 10 people who have had that awesome responsibility have come out and, in an unprecedented way, said they would not trust Donald Trump with the nuclear codes or to have his finger on the nuclear button."
1007_t0117_s010,What should I have done?
1011_t0163_s023,I’ve had a strong record of working with Democrats and Republicans in Texas to make sure no child is left behind.
1001_t0025_s014,Spending was only up something like 4 percent.
1027_t0259_s019,"And when they made that horrible deal with Iran, they should have included the fact that they do something with respect to North Korea."
1017_t0066_s015,"The president also took Medicare, which belongs to you."
1015_t0104_s004,"I appreciate the fact that his daughters have been so kind to my daughters in what has been a pretty hard experience for, I guess, young girls, seeing their dads out there campaigning."
1001_t0030_s002,I want to keep this economic recovery going.
1008_t0071_s016,"It’s about your family; it’s about your business, and in this case it’s about a firmer policy with Cuba."
1008_t0083_s001,It’s not the U.
1013_t0075_s017,And we have to also be very cautious in the way we use our military.
1021_t0093_s016,"And, again, I know those situations."
1022_t0088_s016,So that’s Mr.
1007_t0071_s009,"And if you make a mistake, say you made a mistake and go on about your business, trying to serve the American people."
