sentence_id,reasoning,damsl_tags,beads_tags,n_damsl_tags,n_beads_tags
1006_t0119_s003,A fragmentary self-clarification about possibly getting the question wrong.,CORR,,1,0
1006_t0090_s008,Personal opinion generalizing about bureaucratic arrogance from staying too long.,S,IP; CB,1,2
1030_t0265_s007,"Plain geographic factual statement, neutral.",S-Inform,,1,0
1026_t0185_s004,Statement characterizing opponent's prior position; challenges/references opponent.,S; CH,REB,2,1
1015_t0052_s014,"Factual assertion about North Korea's nuclear weapons, likely fear-tinged but plainly informative.",S-Inform,AF,1,1
1031_t0696_s001,"Opens with 'No' rejecting/disagreeing, then gives a counter-reasoning against opponent's claim.",DIS; ANS,REB,2,1
1022_t0019_s004,"A Wh-question about where companies will go; rhetorical framing implying jobs will flee, a false-dilemma type argument.",Q-W; Q-RHET,CB,2,1
1018_t0067_s016,Declarative statement asserting a benefit of a policy; frames own position positively.,S,IP,1,1
1007_t0039_s001,"Opens with 'Well, no, but' rejecting/disagreeing then making a point about subjectivity.",S; REJ,REB,2,1
1011_t0156_s007,Statement of a personal pledge and reference to specific legislation; self-promotion of commitment.,S; S-Inform,IT,2,1
1030_t0309_s023,Declarative hortatory 'we have to'; not imperative. Mild appeal to national pride in 'great people'.,S,AP,1,1
1031_t0784_s028,Flat prediction/rejection of an outcome.,S,,1,0
1021_t0123_s007,"Vague declarative about needing action; hortatory statement, no specific bias, possibly avoiding specifics.",S,,1,0
1018_t0061_s010,Statement claiming personal credit for a record of fighting for fiscal responsibility.,S,IT,1,1
1023_t0073_s004,Declarative challenging a proposal as not conducive to growth; rebuts opponent's approach.,S; CH,REB,2,1
1013_t0167_s001,Neutral definitional statement explaining what a brown field is.,S; EXPL,,2,0
1021_t0080_s006,A declarative offer to help the listener lower premiums; frames self as helper.,S; IAFA-OF,IT,2,1
1033_t0195_s004,Plain declarative assertion predicting inability; no clear bias.,S,,1,0
1025_t0125_s009,Statement about energy policy framing collective control; hortatory but declarative.,S,,1,0
1018_t0028_s004,"Speaker references personal past acknowledgment, self-referential statement.",S,IP,1,1
1008_t0030_s004,"Statement with specific numbers ($30,000, $1261, 15 percent), factual content, also self-promotion of tax cut.",S-Inform,IT,1,1
1031_t0373_s002,Fragment enumerating a point; steering/holding floor.,MS,,1,0
1007_t0205_s026,"Addresses students directly with 'God bless you' and 'American dream', patriotic/emotional appeal.",S,AE; APAT; IT,1,3
1010_t0075_s003,Declarative critiquing something as 'the problem'; a rebuttal against opponent's position.,S; CH,REB,2,1
1014_t0019_s007,Statement characterizing something as political rather than about people; mild framing.,S,CB,1,1
1031_t0812_s006,Statement reporting what others are saying about postmark deadlines; factual restatement.,S,,1,0
1025_t0260_s013,A declarative statement about personal biography referencing self and religion.,S,CBias,1,1
1007_t0035_s001,"Expresses personal disagreement with a prior claim, framed as opinion.",DIS,IP; REB,1,2
1004_t0140_s006,Expresses thanks and cites factual detail (a third Republicans).,S-Inform; THK,,2,0
1017_t0098_s004,Factual claim attacking opponent's record with a specific number.,S-Inform; CH,ATTR; REB,2,2
1023_t0139_s006,Statement assigning blame to credit agencies for misrepresenting investments.,S,ATTR,1,1
1033_t0193_s001,Statement of personal intent and identity as a proud Democrat and American president.,S,AP; IP,1,2
1003_t0069_s010,Narrative statement painting an emotional family scene.,S,AE,1,1
1013_t0099_s001,Hedged statement of personal view about needing enforcement; not an imperative.,S,IP,1,1
1031_t0786_s014,"Imperative command directed at opponent, emphatic and adversarial.",IAFA,AEX; REB,1,2
1017_t0081_s015,Statement crediting broad tax relief; self-promotion of policy outcome.,S,IT,1,1
1008_t0143_s032,"This appears to be a name reference, possibly a moderator identifying a questioner. Neutral procedural content.",S,,1,0
1026_t0069_s005,"A declarative statement critiquing the opponent's budget proposals, referencing them and disagreeing with their effect. This is a rebuttal aimed at the opponent's position.",S; CH,ATTR; REB,2,2
1033_t0193_s008,A factual-sounding declarative statement about federal government deficit spending. Plain assertion.,S,,1,0
1017_t0009_s003,"A general declarative statement expressing a view about presidential decisions. No clear bias, though it reflects a stance.",S,,1,0
1019_t0179_s016,A brief declarative emphasizing importance. Plain statement.,S,,1,0
1017_t0083_s003,Short declarative asserting the audience has a choice. Plain statement.,S,,1,0
1027_t0289_s001,A denial/correction of what the opponent claims was said. This challenges the opponent's characterization.,DIS; CORR,REB,2,1
1015_t0006_s004,"A statement claiming credit for pursuing Al Qaida, self-promotional about administration action.",S,IT,1,1
1001_t0030_s008,"A hortatory declarative about moving forward without harming the economy; 'we've got to' is a statement, not a command, and frames shared action.",S,,1,0
1030_t0071_s017,"A statement characterizing the opponent ('she') as 'playing chicken,' a belittling personal characterization aimed at the opponent.",S,PER; REB,1,2
1023_t0062_s013,"Statement contrasting who is affected by a tax, referencing the opponent to counter a claim.",S,REB,1,1
1003_t0045_s006,Plain declarative asserting importance; no bias.,S,,1,0
1031_t0465_s001,Flat rejection/challenge of a prior claim's accuracy.,REJ; CH,REB,2,1
1027_t0192_s001,Fragmented self-correcting statement.,S; CORR,,2,0
1031_t0752_s001,Incomplete statement describing what the opponent said.,S,,1,0
1029_t0293_s013,Statement praising a person's persistence.,S,,1,0
1011_t0003_s016,Personal stance framed with 'I believe' about policy.,S,IP,1,1
1017_t0163_s007,"Statistic citing jobs figure, self-promotional credit for economic performance.",S-Inform,IT,1,1
1015_t0118_s017,Statement attributing an opposing position to the opponent.,S,REB,1,1
1006_t0092_s003,Personal-stance statement giving reasoning about a policy problem.,S; EXPL,IP,2,1
1018_t0100_s018,"Speaker makes a declarative statement about their past position on quotas, framing it as personal opinion/stance.",S; INT,IP,2,1
1006_t0015_s008,A declarative statement deflecting blame away from both parties.,S,DF,1,1
1014_t0066_s001,Single word acknowledgment/agreement.,ACK,,1,0
1001_t0120_s003,"Declarative assertion about intentions, offering an interpretive claim.",S,,1,0
1007_t0197_s004,Declarative statement framing personal focus/opinion.,S,IP,1,1
1015_t0004_s013,Speaker claims personal capability/credit for leading alliances.,S,IT,1,1
1019_t0151_s005,An anecdotal recollection of a personal visit; narrative statement.,S; HS,,2,0
1029_t0144_s001,Fragment continuing a prior statement referencing Russians and foreign powers.,S,,1,0
1001_t0056_s008,Plain declarative assertion about government's role.,S,,1,0
1019_t0116_s008,"Statement praising troops' performance, appealing to pride.",S,AP,1,1
1007_t0010_s012,"An assertion criticizing the opponent's spending behavior, attributing excessive spending to him.",S; CH,ATTR; REB,2,2
1014_t0129_s008,"Speaker describes their own tax proposal, promoting their policy.",S; S-Inform,IT,2,1
1025_t0069_s001,"Addressing the moderator by name, bidding for the floor.",TT,,1,0
1031_t0700_s018,"Factual comparative claim about carbon absorption, likely a one-sided assertion.",S; S-Inform,,2,0
1006_t0015_s001,States a debt figure as new factual content.,S; S-Inform,,2,0
1010_t0097_s001,"Expresses personal curiosity, a personal stance leading into a question.",S,IP,1,1
1008_t0070_s004,Factual assertion using emotionally charged language (murdered) about an event.,S; S-Inform; HS,AF,3,1
1022_t0157_s023,"Assertion blaming the Democrats for out-of-bounds behavior, a political outgroup attribution.",S; CH,PB; ATTR; REB,2,3
1008_t0032_s002,Detailed statistic-laden claim about the opponent's tax plan and its harmful consequences.,S; S-Inform; CH,AF; REB; SE,3,3
1015_t0062_s009,Emotional personal reflection about a grieving mother and a difficult decision.,S,AE,1,1
1029_t0129_s016,"A short declarative asserting evidence exists, likely used to challenge the opponent's denial.",S; CH,REB,2,1
1013_t0046_s003,Declarative referencing a past administration and expressing a stance about lessons to take seriously.,S; HS,IP,2,1
1010_t0009_s006,"Declarative claiming progress, taking credit for the record.",S,IT,1,1
1001_t0124_s010,Garbled declarative referencing Angola and country understanding; unclear but a statement.,S,,1,0
1033_t0301_s001,"Declarative defending own record, implicitly contrasting with opponent's claim.",S,IT; REB,1,2
1010_t0065_s004,Declarative stating a personal belief and policy stance on Affirmative Action.,S; EXPL,IP; RB,2,2
1004_t0016_s008,"General declarative about accountability, implicitly assigning responsibility to own ticket.",S,IP,1,1
1025_t0249_s005,"Sentence fragment listing an accusation of theft, adversarial toward a foreign actor.",S; S-Inform,,2,0
1021_t0143_s006,"Personal declarative expressing belief and gratitude to the country, patriotic self-narrative.",S,AP; IP,1,2
1007_t0073_s003,"Declarative characterizing opponent's stance as a rigid all-or-nothing position, a straw-man framing.",S; CH,REB; CB,2,2
1033_t0190_s005,"Declarative asserting the bill has been stalled, implying blame for inaction.",S,ATTR,1,1
1007_t0012_s009,Direct affirmative answer to a prior question.,ANS,,1,0
1030_t0049_s002,Plain declarative statement about future technology.,S,,1,0
1018_t0061_s018,Statement of promised policy stance about fiscal responsibility.,S,,1,0
1003_t0144_s026,First-person self-characterization framing personal stance/identity.,S,IP,1,1
1027_t0079_s004,Expresses personal belief about policy with 'I think'.,S,IP,1,1
1019_t0133_s007,States a disagreement referencing difference with opponent.,S; DIS,REB,2,1
1006_t0121_s001,"Requests clarification/help understanding the question, a repeat/clarify request.",R-REQ,,1,0
1003_t0032_s011,"References opponent's repeated prior claim, setting up a rebuttal.",S; MS,REB,2,1
1022_t0148_s008,"Declarative asserting a policy position on protecting the unborn, personal/ideological stance.",S,IP,1,1
1001_t0056_s020,"A declarative expressing what ought to be done using 'we need to', which is hortatory not imperative.",S,,1,0
1030_t0281_s001,"A direct statement attacking the opponent's character as 'the most dangerous person', a personal attack on a named figure.",S; CH,PER; ATTR,2,2
1031_t0551_s001,Empty/period-only sentence with no content.,,,0,0
1011_t0093_s004,"Declarative citing the speaker's own record supporting the war, self-promotion of a factual credential.",S; S-Inform,IT; SE,2,2
1014_t0111_s004,"A long declarative musing on idealistic young people, an emotional appeal.",S,AE,1,1
1023_t0179_s005,Frames as personal opinion with 'my own view' and claims credit for adding to it.,S,IT; IP,1,2
1011_t0041_s010,Declarative expressing what should be done and promising personal action if elected; references crisis.,S,AF; IT; IP,1,3
1030_t0135_s003,A statement of promised personal action with a factual claim about the debt.,S; S-Inform,IT,2,1
1004_t0092_s005,"Statement claiming credit for urging action and applauding, self-promotion.",S,IT,1,1
1008_t0046_s002,"Grammatically imperative commands 'Get people' and 'let them make', a directive.",IAFA,,1,0
1029_t0027_s014,An emphatic statement characterizing the opponent negatively via 'this is who Donald Trump is'.,S,PER; REB,1,2
1004_t0073_s013,A statement with an embedded imperative-like 'remember' framing about Russia/countries; informative reasoning.,S; EXPL,,2,0
1033_t0191_s006,Claims that everyone will pour into the country — a fear-based prediction about consequences.,S,AF; CB,1,2
1029_t0276_s021,"A factual-sounding claim about paying off deficits, with emphatic 'tremendous' repetition; a prediction.",S,CB,1,1
1006_t0190_s010,Statement invoking family leave/childcare hardship — emotional appeal to families.,S,AE,1,1
1008_t0030_s010,Informative statement citing a specific policy figure (50 percent capital gains cut).,S; S-Inform,,2,0
1008_t0065_s010,A hedged statement of opinion about decision-making by the President.,S,IP,1,1
1030_t0236_s012,Personal-stance prediction that people will 'see through it'.,S,IP,1,1
1011_t0148_s010,Anecdotal statement quoting people; emotional/relatable appeal and personal anecdote.,S,AE; SE,1,2
1031_t0761_s001,A flat denial/rejection that the speaker would ever say something.,S; REJ,,2,0
1026_t0067_s004,"Attributes a prediction to the president to contrast with reality, a rebuttal referencing the opponent.",S; CH,ATTR; REB,2,2
1014_t0105_s016,Speaker states personal stance against censorship.,S,IP,1,1
1021_t0068_s001,Affirmative one-word answer/acceptance.,AGR; ANS,,2,0
1010_t0025_s004,Factual assertion with a number about military divisions.,S-Inform,,1,0
1019_t0153_s006,"Speaker frames what is important, holding the floor with a personal-stance framing.",S; TT,IP,2,1
1004_t0052_s017,"Imperative command to look at record, framing Democrats negatively.",IAFA,PB; SE,1,2
1027_t0171_s009,"Hortatory 'we need to' statement about community cooperation, a unity appeal.",S,UF,1,1
1008_t0008_s009,Factual conditional statement with dollar figure about Social Security taxes.,S-Inform,,1,0
1006_t0182_s001,Bids to take the floor to add something.,TT,,1,0
1029_t0220_s013,"Attributes a characterization to the opponent (she), a rebuttal reference.",S,ATTR; REB,1,2
1007_t0087_s005,Explicit disagreement with a prior claim.,DIS,REB,1,1
1004_t0095_s015,Personal statement celebrating anniversary and thanking family; a warm closing.,S; THK,AE,2,1
1017_t0127_s003,"Statement with factual detail challenging opponent's stem cell claim, with numbers.",S-Inform; CH,REB; SE,2,2
1033_t0311_s001,One-word answer/statement.,S,,1,0
1031_t0786_s041,Plain declarative assertion.,S,,1,0
1017_t0132_s008,"Frames as personal opinion, offering reasoning about a judge's decision.",S; EXPL,IP,2,1
1018_t0102_s001,Rebuts/challenges a false claim about self meeting the Black Congressional Caucus; references race group.,S; CH,REB; RB,2,2
1004_t0077_s020,Declarative statement about continuing a policy.,S,,1,0
1031_t0282_s013,Attack on opponent predicting he'll destroy the country; fear-laden blame attribution.,S,AF; PER; ATTR,1,3
1025_t0024_s013,Statement affirming continued policy of drilling.,S,,1,0
1027_t0040_s001,"Speaker cites their own credential/experience as secretary of state, self-promotion of qualifications.",S; HS,IT,2,1
1011_t0143_s003,"A yes-no question requesting to continue discussion, a turn-related procedural ask.",YNQ; T-REQ,,2,0
1027_t0204_s012,"Declarative expressing what should be done ('we need to'); a policy stance, not an imperative.",S,IP,1,1
1030_t0256_s018,Plain declarative assertion about others' motives.,S,,1,0
1033_t0073_s016,"A wh-question that is rhetorical, questioning the situation.",Q-W; Q-RHET,,2,0
1006_t0151_s020,Statement plus a rhetorical question implying failure/blame.,Q-RHET; S,CB,2,1
1026_t0068_s006,"Declarative disagreeing with an approach, implicit rebuttal of opponent's plan.",S; DIS,REB,2,1
1013_t0153_s001,"Long statement challenging opponent's evasion and asserting his own figures are correct, referencing the opponent's non-answer with specific stats.",S-Inform; CH,ATTR; REB; SE,2,3
1010_t0024_s003,Statement claiming personal credit for a legislative package.,S; INT,IT,2,1
1022_t0016_s004,Turn-holding 'look' plus a generalizing statement about taxes.,S; TT,CB,2,1
1015_t0127_s003,Declarative assertion interpreting an event's significance.,S,,1,0
1029_t0108_s003,An incomplete declarative describing a policy step; no bias evident.,S,,1,0
1017_t0037_s007,"Statement with specific factual figures (tons, number of bombs) about nuclear threats; the framing emphasizes danger.",S-Inform,AF,1,1
1033_t0245_s013,"Quotes the Declaration of Independence, a historical/founding reference.",S; HS,APAT,2,1
1001_t0085_s013,Declarative asserting who won't dictate; contains negative framing of federal bureaucracy.,S,,1,0
1004_t0063_s005,States a consensus claim then makes a hortatory appeal to shared action.,S,UF,1,1
1015_t0010_s008,Statement of self-promotion asserting personal resolve on a goal.,S,IT,1,1
1026_t0035_s001,Fragment referencing a status-of-forces agreement; no bias.,S,,1,0
1021_t0099_s016,"Hortatory statement about policy needs; personal anecdote of visiting, and loaded framing of 'cruel Taliban'.",S,UF,1,1
1033_t0353_s009,"Collective optimistic assertion about the economy, framed as shared national action.",S,UF,1,1
1025_t0247_s009,"Describes the opponent's tax-reform proposal in a framing setup; a statement referencing the opponent's idea, cut off mid-sentence.",S,REB,1,1
1001_t0025_s015,"A declarative assertion clarifying a spending vs. taxing point, framed as the speaker's argument.",S; EXPL,IP,2,1
1010_t0068_s011,"Contains imperative 'don't give up on making an extra effort' — a command about policy on affirmative action, touching on race/qualification framing.",S; IAFA,RB,2,1
1004_t0090_s007,Brief plain declarative statement.,S,,1,0
1019_t0148_s007,"Statement of policy intent ('we also have to affirm'), listing specific nations; not imperative. Cultural/national reference.",S; S-Inform,UF,2,1
1013_t0224_s001,Hedged personal-opinion statement attacking opponent's tax plan as favoring the wealthy.,S,IP; REB,1,2
1015_t0044_s022,Statement quoting/paraphrasing to characterize the opponent's antiwar stance negatively.,S,REB; CB,1,2
1006_t0213_s002,Personal statement expressing regard for people; benign declarative.,S,IP,1,1
1004_t0102_s012,Declarative statement about limits of success with addicts; contrastive.,S,,1,0
1030_t0051_s006,Statement presenting a stark either/or framing about immigration — 'we either have a country or we don't' is a false dilemma.,S,AF; CB,1,2
1011_t0044_s001,"Speaker bids to take the floor, addressing the moderator with 'if I may.'",TT,,1,0
1018_t0047_s006,Declarative self-characterization framing personal purpose; mild self-promotion.,S,IT,1,1
1027_t0133_s037,Statement blaming a named opponent (Clinton) for a problem.,S; CH,PB; ATTR; REB,2,3
1011_t0115_s008,Directly disputes opponent's honesty and claims addressing the audience/opponent.,S; CH,PER; REB,2,2
1019_t0035_s012,Bare imperative telling the listener to look.,IAFA,,1,0
1018_t0033_s004,Statement citing a specific numerical voting record against opponent.,S-Inform; CH,ATTR; REB; SE,2,3
1019_t0113_s020,Statement promising change under own presidency; self-promotional framing.,S,IT,1,1
1006_t0015_s032,Statement providing a specific figure/timeframe.,S-Inform,SE,1,1
1022_t0060_s005,Long statement addressing opponent's ads and asserting willingness to be attacked; references opponent's campaign.,S; CH,REB,2,1
1018_t0105_s007,Personal narrative referencing religious upbringing and values; cultural/religious framing.,S; HS,APAT; IP; CBias,2,3
1022_t0026_s003,"Declarative referencing a historical program/era, providing factual content.",S; HS,,2,0
1023_t0133_s009,"Statement with a specific number and named legislation, likely cited one-sidedly to critique Dodd-Frank.",S-Inform,SE,1,1
1026_t0150_s004,Declarative stating personal policy stance/attitude taken in office.,S,IT; IP,1,2
1031_t0770_s002,Empty punctuation-only token; no discourse content.,,,0,0
1031_t0495_s003,"Wh-question aimed at opponent's record, implying he did nothing.",Q-W; CH,AEX; REB,2,2
1027_t0150_s017,"Declarative expressing what ought to happen ('have to'), not an imperative; law-and-order framing.",S,,1,0
1029_t0269_s003,Statement of personal belief about policy.,S,IP,1,1
1022_t0110_s001,"Declarative complimenting opponent, personal stance of admiration.",S,IP,1,1
1006_t0088_s002,"Offer/willingness to respond, taking the turn.",IAFA-OF; TT,,2,0
1023_t0206_s014,Imperative directing listener to examine the record.,IAFA,,1,0
1031_t0666_s005,Personal anecdote framing a drug problem as widespread among people known at home; a statement with emotional resonance.,S,AE,1,1
1015_t0140_s004,Declarative assertion promising something won't happen while the speaker is president; self-referential authority claim.,S,IT,1,1
1003_t0042_s004,Statement attributing a tactic to Republicans as a political outgroup.,S,PB,1,1
1014_t0075_s016,"Historical self-reference citing a specific past vote and role, factual detail.",S-Inform; HS,IT,2,1
1004_t0002_s006,Statement promoting the uniqueness of the speaker's candidacy; self-promotion and populist framing.,S,AP; IT,1,2
1030_t0065_s007,"Statement asserting hacking activity; factual accusation, sounds like appeal to threat.",S,AF,1,1
1017_t0073_s016,"Reports what opponent said about a health plan, with 'novel' possibly skeptical; discourse continues an argument referencing opponent.",S,REB,1,1
1031_t0657_s006,Empty punctuation-only sentence with no content.,,,0,0
1001_t0083_s007,Hortatory 'think about' framing invoking a fearful/emotional scenario of a child unable to play safely.,IAFA,AF; AE,1,2
1025_t0183_s001,"Statement introducing the opponent's contrasting response, setting up a rebuttal.",S; MS,REB,2,1
1008_t0112_s003,Declarative expressing a personal belief/stance about balancing environment and economy.,S,IP,1,1
1006_t0172_s024,A short interrogative fragment seeking clarification about factories.,YNQ,,1,0
1018_t0089_s017,"Declarative challenging the opponent's claim about the decision to go to war, framed as fact.",S; CH,REB,2,1
1007_t0095_s002,Expresses agreement with Ross and a personal stance on lobbyist restrictions.,S; AGR,IP,2,1
1006_t0228_s001,"A bare noun fragment naming an institution, likely a factual reference.",S,,1,0
1027_t0133_s023,Declarative self-assessment presenting personal financial standing favorably.,S,IT,1,1
1011_t0070_s013,Long explanatory statement giving reasoning about Serbian sentiment and NATO.,S; EXPL,,2,0
1031_t0684_s010,Informative statement describing forest floor conditions with descriptive detail.,S; S-Inform,,2,0
1015_t0042_s007,"Statement referencing the opponent's speech and quoting it, providing factual recount.",S; HS,,2,0
1017_t0039_s022,"References own past speech (self/historical) and states the 'Axis of Evil' framing, using fear-laden language about hostile nations.",S; S-Inform; HS,AF; IT,3,2
1031_t0663_s001,Plain declarative assertion about someone making money.,S,,1,0
1004_t0010_s012,"Speaker states a personal stance/opinion critiquing an approach, implicitly criticizing the opponent's negativity.",S,IP; REB,1,2
1033_t0065_s016,Imperative command dismissing the topic; deflects away from substance.,IAFA,DF,1,1
1010_t0025_s001,"States non-disagreement but adds a critical jab that the opponent waited four years, a rebuttal with self-promotion of promised action.",S; REJ,IP; ATTR; REB,2,3
1019_t0094_s001,"Fragmentary statement, cut off, plain factual assertion.",S,,1,0
1011_t0165_s019,Plain declarative statement.,S,,1,0
1010_t0055_s002,"Factual statement referencing a policy recommendation, informative content.",S; S-Inform,,2,0
1031_t0161_s001,Emphatic evaluative statement rejecting/condemning something.,S,,1,0
1021_t0033_s005,Statement claiming personal competence/credit.,S,IT,1,1
1027_t0087_s002,Rhetorical opener bidding to hold the floor rather than seeking an answer.,Q-RHET; TT,,2,0
1025_t0222_s013,A declarative expressing a view about two-parent families with a qualification.,S; IAFA,,2,0
1027_t0146_s001,A hedged declarative expressing personal opinion that it is time for something.,S,IP,1,1
1030_t0329_s005,"A declarative warning of negative consequences for Social Security and Medicare, invoking threat.",S,AF,1,1
1004_t0082_s019,A flat declarative refusal to do something.,S; REJ,,2,0
1025_t0222_s020,An informative statement describing a program (Fast and Furious) with critical framing of the administration.,S; S-Inform,ATTR; SE,2,2
1033_t0328_s008,"An explanatory declarative giving reasons for cancer deaths in the speaker's state, with emotional weight.",S; EXPL,AE,2,1
1006_t0045_s002,A hedged statement steering toward discussing the issues.,S; MS,IP,2,1
1025_t0103_s003,"A narrative recounting a personal anecdote, quoting the speaker's own question to staff.",S; HS,IP,2,1
1026_t0067_s002,"A self-promotional statement claiming knowledge to create jobs, with specific numbers.",S; S-Inform,IT,2,1
1004_t0038_s012,A declarative expressing personal stance against isolationism and blaming foreigners.,S,IP,1,1
1010_t0088_s015,"Speaker claims personal effort over four years, taking credit for work done.",S,IT,1,1
1023_t0024_s010,"A denial/rejection of a prior claim, likely rebutting the opponent.",S; DIS,REB,2,1
1013_t0193_s003,Address form used to hand or manage the floor to the Vice President.,TG,,1,0
1030_t0008_s007,Declarative statement clarifying his position on gun rights; expresses stance.,S; EXPL,IP,2,1
1014_t0090_s008,Declarative explaining his policy positions with personal stance framing.,S; EXPL,IP,2,1
1025_t0012_s003,States personal policy goal to build manufacturing jobs; frames own intention.,S,IP,1,1
1018_t0041_s006,"Loaded characterization calling a practice brutal, an emotional/fear framing.",S,AE,1,1
1004_t0066_s014,Imperative asking to be given a chance to do something.,IAFA; T-REQ,,2,0
1021_t0041_s014,Bids to hold the floor to make a final point.,TT,,1,0
1015_t0133_s002,Statement of personal reaction; expresses stance.,S,IP,1,1
1003_t0078_s013,"Speaker acknowledges others hold a differing view; a plain declarative expressing awareness, framed as personal stance.",S,IP,1,1
1026_t0112_s023,Declarative statement of policy intent to maintain pressure; no clear bias slant.,S,,1,0
1023_t0042_s004,States personal policy plan; self-referential stance about own plan.,S,IP,1,1
1017_t0161_s003,Statement noting both have strong convictions; personal-stance framing.,S,IP,1,1
1018_t0074_s018,Statement describing an initiative worked on; self-credit for the effort.,S,IT,1,1
1007_t0162_s002,Short declarative asserting soundness; opinionated evaluation but minimal.,S,,1,0
1031_t0176_s007,Declarative statement expressing trust in scientists; a stance.,S,IP,1,1
1019_t0153_s009,"Dismissive evaluation of a prior claim/action, challenging its validity.",S; CH,REB,2,1
1026_t0059_s002,Conditional statement about American influence growing; collective/national framing.,S,UF,1,1
1014_t0029_s001,Moderator's one-word procedural prompt for a follow-up question.,TG,,1,0
1019_t0153_s018,Declarative asserting a policy approach involving multiple energy sources.,S,IP,1,1
1027_t0010_s005,"Statement criticizing opponent's plan by labeling it 'trickle-down economics,' a rebuttal referencing the opponent.",S; CH,ATTR; REB,2,2
1029_t0142_s007,Statement praising something as presidential leadership; personal opinion framing.,S,IP,1,1
1013_t0141_s019,Imperative/hortatory quote invoking a moral/religious principle.,IAFA,AE,1,1
1017_t0011_s003,"Declarative asserting increased danger, invoking fear.",S,AF,1,1
1025_t0006_s001,Simple expression of thanks.,THK,,1,0
1017_t0021_s020,Plain declarative about meeting with them regularly.,S,,1,0
1007_t0008_s001,"Statement criticizing a plan for not balancing the budget, challenging its merit.",S; CH,REB,2,1
1029_t0276_s027,"Statement blaming the EPA for putting energy companies out of business, loaded and one-sided.",S,ATTR; SE,1,2
1022_t0108_s009,Statement citing a numeric capacity figure.,S; S-Inform,,2,0
1025_t0131_s012,Declarative attributing responsibility for a plan to the president; mild blame/attribution framing depending on context but plainly a statement.,S,ATTR,1,1
1007_t0012_s010,Declarative asserting taxpayers should be glad; frames a president standing up to a 'spending Congress' with negative outgroup framing and self/credit tone.,S,PB,1,1
1011_t0083_s007,"Sentence fragment continuing a list of issues, essentially a statement/topic item.",S,,1,0
1017_t0020_s010,Speaker signals holding the floor ('I have to tell you') and states a personal stance to do something different.,S; TT,IP,2,1
1031_t0087_s001,"Yes-no question probing the opponent's prior position, challenging them.",YNQ; CH,REB,2,1
1014_t0133_s003,Declarative acknowledging disagreement among good people; personal framing of an issue.,S,IP,1,1
1033_t0290_s006,Plain factual declarative admitting an election loss.,S,,1,0
1013_t0139_s003,Personal stance statement giving reasoning ('because too many criminals are getting guns').,S; EXPL,IP,2,1
1017_t0115_s009,"Declarative factual claim about taxes rising, informative content.",S; S-Inform,,2,0
1006_t0242_s003,"Procedural closing statement giving time/channel details, neutral.",S; S-Inform,,2,0
1006_t0172_s002,A declarative asserting what leaders should say/do about public schools; frames a principle rather than commanding the listener directly. Contains a mild personal-stance framing.,S,IP,1,1
1013_t0161_s019,Plain declarative asserting the state cares about children; emotional appeal via 'our children'.,S,AE,1,1
1033_t0018_s002,"Statement with a factual/numeric detail (40 countries) that criticizes an opponent's timing, functioning as a blame/rebuttal.",S-Inform; CH,ATTR; REB; SE,2,3
1018_t0089_s014,"Reports what the opponent said, referencing a place; a statement used to challenge or contrast with reality.",S; CH,REB,2,1
1031_t0638_s009,"Declarative claiming progress in rebuilding, taking credit for improvement.",S,IT,1,1
1015_t0104_s001,"Declares that the question posed was loaded/biased, challenging the framing rather than answering it.",S; CH,REB; IA,2,2
1033_t0055_s006,Informative statement citing geographic spread of spikes; largely factual with an inclusive framing 'they're all Americans'.,S-Inform,,1,0
1004_t0080_s013,Grammatically imperative bare command directed at reopening society.,IAFA,,1,0
1006_t0132_s007,"Statement invoking personal knowledge of struggling businesses, an emotional/experiential appeal.",S,AE,1,1
1021_t0143_s013,Declarative asserting economic decline; presents a one-sided claim as fact.,S,SE,1,1
1011_t0156_s005,"A vague declarative introducing an example, holding the floor.",S,,1,0
1017_t0110_s023,A declarative statement of policy intention.,S,,1,0
1017_t0087_s007,A rhetorical wh-question setting up an attack on the opponent's proposal.,Q-W; Q-RHET,REB,2,1
1029_t0226_s003,Statement addressed to opponent claiming personal lifelong credit for supporting families.,S,IT,1,1
1011_t0117_s005,An imperative command to stop a line of questioning.,IAFA,DF,1,1
1001_t0133_s002,A vocative address / turn handoff to the Vice President.,TG,,1,0
1029_t0009_s010,"Statement expressing personal hope for coming together, unity framing.",S,UF; IP,1,2
1017_t0112_s019,Rhetorical question loaded with statistics attacking opponent's tax plan.,YNQ; Q-RHET; S-Inform,AF; REB,3,2
1030_t0256_s011,Plain declarative factual assertion.,S,,1,0
1013_t0002_s016,Statement claiming personal accomplishment.,S,IT,1,1
1025_t0131_s017,Declarative asserting the opponent failed to act; references opponent negatively as a critique.,S; CH,ATTR; REB,2,2
1008_t0074_s019,Statement contrasting good provisions with a critical 'massive takeover' framing of a bill.,S; CH,AF; REB,2,2
1033_t0018_s007,Hortatory statement expressing what should be done; not a bare imperative but expresses collective sentiment.,S,,1,0
1022_t0088_s003,"Declarative asserting a claim about the opponent's campaign focus, critical framing.",S; CH,ATTR; REB,2,2
1003_t0171_s019,Thanks plus patriotic/religious closing benediction.,THK,APAT,1,1
1033_t0079_s008,Plain factual declarative about a personal action.,S,,1,0
1029_t0140_s018,Bare imperative inviting action.,IAFA; IAFA-OF,,2,0
